,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-01-04,68.55,69.45,68.3,69.37,168379,,,,
2010-01-05,69.46,70.03,69.32,69.9,179175,,,,0.007640190283984438
2010-01-06,69.74,70.32,69.7,70.3,187683,,,,0.005722460658082795
2010-01-07,69.52,70.13,69.52,70.0,105126,,,,-0.004267425320056861
2010-01-08,69.41,70.0,69.31,69.48,177077,,,,-0.00742857142857134
2010-01-11,70.24,70.46,69.62,69.99,180230,,,,0.0073402417962002975
2010-01-12,69.64,69.71,68.7,69.7,233927,,,,-0.004143449064151872
2010-01-13,69.66,70.0,68.97,70.0,89209,,,,0.00430416068866557
2010-01-14,70.0,70.0,69.13,69.5,176322,,,,-0.0071428571428571175
2010-01-15,68.8,69.19,68.17,68.5,286200,,,117545.26628200081,-0.014388489208633115
2010-01-18,68.77,69.22,68.53,68.9,366520,,,94345.04961314873,0.005839416058394331
2010-01-19,68.5,69.42,68.12,68.12,194250,,,14470.411011059361,-0.01132075471698113
2010-01-20,68.52,68.61,66.92,67.7,269430,,,-26115.509977513866,-0.0061655901350557984
2010-01-21,68.0,68.0,65.37,65.9,996250,,0.0,-229573.66184958047,-0.026587887740029514
2010-01-22,65.6,65.96,64.91,65.59,653711,26.550868486352275,0.0,-230526.99411394543,-0.0047040971168437196
2010-01-26,65.05,65.36,64.12,64.98,457095,24.549947052594344,0.0,-153660.90330264444,-0.009300198200945298
2010-01-27,64.99,65.0,63.9,64.9,444017,24.291394642809088,0.0,7344.691172468534,-0.001231148045552466
2010-01-28,65.06,66.49,63.98,65.2,243961,27.38005324579288,5.882352941176421,70378.10550617072,0.0046224961479197635
2010-01-29,65.5,65.99,64.7,64.9,129331,26.227740863326275,0.0,61375.64948814281,-0.004601226993865004
2010-02-01,65.4,66.16,64.79,66.05,172290,37.14764367951809,22.549019607842997,98129.62884116889,0.017719568567026167
2010-02-02,66.95,66.95,65.99,66.7,221228,42.34258950914009,35.29411764705881,137973.36246972508,0.009841029523088629
2010-02-03,66.5,66.65,66.2,66.59,269839,41.714230697182195,36.7391304347826,204692.47206294665,-0.001649175412293813
