,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,68.55,69.45,68.3,69.37,69.37,168379,0.0,1.0
2010-01-05,69.46,70.03,69.32,69.9,69.9,179175,0.0,1.0
2010-01-06,69.74,70.32,69.7,70.3,70.3,187683,0.0,1.0
2010-01-07,69.52,70.13,69.52,70.0,70.0,105126,0.0,1.0
2010-01-08,69.41,70.0,69.31,69.48,69.48,177077,0.0,1.0
2010-01-11,70.24,70.46,69.62,69.99,69.99,180230,0.0,1.0
2010-01-12,69.64,69.71,68.7,69.7,69.7,233927,0.0,1.0
2010-01-13,69.66,70.0,68.97,70.0,70.0,89209,0.0,1.0
2010-01-14,70.0,70.0,69.13,69.5,69.5,176322,0.0,1.0
2010-01-15,68.8,69.19,68.17,68.5,68.5,286200,0.0,1.0
2010-01-18,68.77,69.22,68.53,68.9,68.9,366520,0.0,1.0
2010-01-19,68.5,69.42,68.12,68.12,68.12,194250,0.0,1.0
2010-01-20,68.52,68.61,66.92,67.7,67.7,269430,0.0,1.0
2010-01-21,68.0,68.0,65.37,65.9,65.9,996250,0.0,1.0
2010-01-22,65.6,65.96,64.91,65.59,65.59,653711,0.0,1.0
2010-01-26,65.05,65.36,64.12,64.98,64.98,457095,0.0,1.0
2010-01-27,64.99,65.0,63.9,64.9,64.9,444017,0.0,1.0
2010-01-28,65.06,66.49,63.98,65.2,65.2,243961,0.0,1.0
2010-01-29,65.5,65.99,64.7,64.9,64.9,129331,0.0,1.0
2010-02-01,65.4,66.16,64.79,66.05,66.05,172290,0.0,1.0
2010-02-02,66.95,66.95,65.99,66.7,66.7,221228,0.0,1.0
2010-02-03,66.5,66.65,66.2,66.59,66.59,269839,0.0,1.0
2010-02-04,66.1,66.21,63.12,63.4,63.4,286058,0.0,1.0
2010-02-05,62.31,63.49,60.76,62.0,62.0,680707,0.0,1.0
2010-02-08,63.5,63.5,62.1,62.6,62.6,251055,0.0,1.0
2010-02-09,63.7,64.89,63.63,64.09,64.09,364120,0.0,1.0
2010-02-10,64.3,64.56,63.75,64.55,64.55,157158,0.0,1.0
2010-02-11,64.49,65.6,63.69,65.6,65.6,373463,0.0,1.0
2010-02-12,65.32,65.6,64.4,65.6,65.6,364171,0.0,1.0
2010-02-17,66.93,67.0,66.3,66.94,66.94,236141,0.0,1.0
2010-02-18,66.63,67.6,65.88,67.6,67.6,402896,0.0,1.0
2010-02-19,66.79,67.4,66.65,67.4,67.4,113779,0.0,1.0
2010-02-22,67.4,67.52,66.46,67.0,67.0,541928,0.0,1.0
2010-02-23,66.03,66.45,65.23,66.0,66.0,410642,0.0,1.0
2010-02-24,65.69,65.95,64.97,65.6,65.6,296000,0.0,1.0
2010-02-25,64.7,66.0,64.0,66.0,66.0,383380,0.0,1.0
2010-02-26,66.0,66.5,65.01,66.5,66.5,198833,0.0,1.0
2010-03-01,66.42,67.2,66.25,67.2,67.2,131012,0.0,1.0
2010-03-02,67.2,67.61,67.0,67.14,67.14,104750,0.0,1.0
2010-03-03,67.6,68.07,66.95,67.4,67.4,227138,0.0,1.0
2010-03-04,67.1,67.45,66.31,67.3,67.3,237838,0.0,1.0
2010-03-05,68.1,68.5,67.74,68.5,68.5,272506,0.0,1.0
2010-03-08,68.6,68.6,67.79,67.84,67.84,172004,0.0,1.0
